ID,nest_name,nest_status,tree_species,country,canton,elev_swiss_maps,coordX,coordY,municipality,location
623,Heitenried_Lettiswil,present,Picea abies (Norwegian Spruce),Switzerland,FR,776.3,7.297247707,46.82056941,Heitenried,Lettiswil
624,Schmitten_Bunziwil_20,active_24,Fagus sylvatica (Beech),Switzerland,FR,636.5,7.264112031,46.85566354,Schmitten,Bunziwil
624,Schmitten_Bunziwil_20,active_24,Fagus sylvatica (Beech),Switzerland,FR,636.5,7.264112031,46.85566354,Schmitten,Bunziwil
625,Bösingen_Riederberg_20,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,562.7,7.216208017,46.8813137,Bösingen,Riederberg
626,Düdingen_Schüracher_20,present,Fagus sylvatica (Beech),Switzerland,FR,652.3,7.204771288,46.8574009,Düdingen,Schüracher
627,Düdingen_Fuchsenacher,present,Fagus sylvatica (Beech),Switzerland,FR,549.2,7.175403567,46.85854586,Düdingen,Fuchsenacher
628,Guggisberg_Steinachere_20,present,Picea abies (Norwegian Spruce),Switzerland,BE,1030.9,7.321430098,46.76191921,Guggisberg,Steinachere
629,Le Mouret_Le Grabot_20,present,Quercus robur (English Oak),Switzerland,FR,732.9,7.18371687,46.74845582,Le Mouret,Le Grabot
630,St. Sylvester_Goleta_20,nest gone,Fagus sylvatica (Beech),Switzerland,FR,733.3,7.203313465,46.75216108,St. Sylvester,Goleta
631,Brunisried_Berghölzli_20,present,Picea abies (Norwegian Spruce),Switzerland,FR,933.1,7.285518429,46.75142222,Brunisried,Berghölzli
632,Zollhaus_Nussbaumerli,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,955.3,7.305195955,46.70183472,Zollhaus,Nussbaumerli
633,Heitenried_Schürgraben_20,nest gone,Pinus sylvestris (Scots pine),Switzerland,FR,698.4,7.284678028,46.84811278,Heitenried,Schürgraben
634,Bösingen_Grenchen_20,present,Quercus robur (English Oak),Switzerland,FR,569.2,7.248230828,46.88815874,Bösingen,Grenchen
635,Bösingen_Risau_20,active_24,Pinus sylvestris (Scots pine),Switzerland,BE,522.2,7.212609446,46.90220965,Bösingen,Risau
636,Wahlern_Althaus_20,present,Abies alba (Silver fir),Switzerland,BE,842.9,7.349865947,46.83408447,Wahlern,Althaus
